timestamp_s,node_state,sampling_interval_s,transmission_interval_s,current_load_A,voltage_bus_V,power_load_W
223.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
224.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
225.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
226.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
227.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
228.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
229.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
230.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
231.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
232.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
233.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
234.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
235.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
236.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
237.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
238.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
239.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
240.0,LORA_TX,30.0,120.0,0.12,3.6,0.432
241.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003
242.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
243.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
244.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
245.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
246.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
247.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
248.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
249.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
250.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
251.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
252.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
253.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
254.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
255.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
256.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
257.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
258.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
259.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
260.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
261.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
262.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
263.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
264.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
265.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
266.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
267.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
268.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
269.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
270.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003
271.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003
272.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
273.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
274.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
275.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
276.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
277.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
278.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
279.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
280.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
281.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
282.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
283.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
284.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
285.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
286.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
287.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
288.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
289.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
290.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
291.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
292.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
293.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
294.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
295.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
296.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
297.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
298.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
299.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
300.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003
301.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003
302.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
303.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
304.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
305.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
306.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
307.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
308.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
309.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
310.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
311.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
312.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
313.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
314.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
315.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
316.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
317.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
318.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
319.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
320.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
321.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
322.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
323.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
324.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
325.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
326.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
327.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
328.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
329.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
330.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003
331.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003
332.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
333.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
